EF,ACC,page,author,year,experiment,family,genus,species,plant_type,defence_type_specific,trait_category,experiment_type,study_type,plant_lifestage_2,Nfixing,density,PD2,SR,X_control,SE_control,SD_control,N_control,X_mixture,SE_mixture,SD_mixture,N_mixture,data_source,notes,yi,vi
ef1,1,1,"Walter, J",2012,EVENT I experiment,Poaceae,Holcus,Holcus lanatus,herbacious,condensed tannins,phenolics,field,experimental,NA,No N-fixing neighbours,NA,0.032,2,30.057,2.8,10.844,15,35.849,3.96,15.337,15,fig 3,"2 grass species, check that error bars = SE",0.424279465,0.136333551
ef2,1,2,"Walter, J",2012,EVENT I experiment,Poaceae,Holcus,Holcus lanatus,herbacious,condensed tannins,phenolics,field,experimental,NA,No N-fixing neighbours,NA,0.451,4,30.057,2.8,10.844,15,33.436,2.99,11.58,15,fig 3,"2 grass, 2 forbs",0.293058174,0.134764718
ef3,1,3,"Walter, J",2012,EVENT I experiment,Poaceae,Holcus,Holcus lanatus,herbacious,condensed tannins,phenolics,field,experimental,NA,N-fixing neighbours,NA,0.451,4,30.057,2.8,10.844,15,25.327,2.12,8.211,15,fig 3,"2 grass, 1 herb, 1 legume",-0.478473316,0.137148945
ef4,1,4,"Walter, J",2012,EVENT I experiment,Poaceae,Holcus,Holcus lanatus,herbacious,total phenolics,phenolics,field,experimental,NA,No N-fixing neighbours,NA,0.032,2,152.239,6.47,25.058,15,145.274,7.96,30.829,15,fig 3,2 grass species,-0.24122353,0.134303147
ef5,1,5,"Walter, J",2012,EVENT I experiment,Poaceae,Holcus,Holcus lanatus,herbacious,total phenolics,phenolics,field,experimental,NA,No N-fixing neighbours,NA,0.451,4,152.239,6.47,25.058,15,137.313,6.97,26.995,15,fig 3,"2 grass, 2 forbs",-0.557583256,0.138514985
ef6,1,6,"Walter, J",2012,EVENT I experiment,Poaceae,Holcus,Holcus lanatus,herbacious,total phenolics,phenolics,field,experimental,NA,N-fixing neighbours,NA,0.451,4,152.239,6.47,25.058,15,122.388,7.46,28.892,15,fig 3,"2 grass, 1 herb, 1 legume",-1.073954942,0.15255632
ef13,2,1,"Kostenko, O ",2017,Ede,Asteraceae,Jacobea,Jacobaea vulgaris,herbacious,N,N,field,experimental,NA,No N-fixing neighbours,NA,NA,2,3.605,0.2,0.4,4,2.14,0.16,0.554,12,fig 3,average value across all different 2 species mixtures,-2.638717337,0.550921745
ef14,2,1,"Kostenko, O ",2017,Ede,Asteraceae,Jacobea,Jacobaea vulgaris,herbacious,N,N,field,experimental,NA,No N-fixing neighbours,NA,NA,3,3.605,0.2,0.4,4,1.995,0.13,0.39,9,fig 3,,-3.812159568,0.920055749
ef15,2,2,"Kostenko, O ",2017,Ede,Asteraceae,Jacobea,Jacobaea vulgaris,herbacious,N,N,field,experimental,NA,No N-fixing neighbours,NA,NA,5,3.605,0.2,0.4,4,1.879,0.09,0.298,11,fig 3,,-5.00661967,1.176450441
ef16,2,3,"Kostenko, O ",2017,Ede,Asteraceae,Jacobea,Jacobaea vulgaris,herbacious,N,N,field,experimental,NA,N-fixing neighbours,NA,NA,10,3.605,0.2,0.4,4,1.782,0.16,0.277,3,fig 3,,-4.306048862,1.907765962
ef17,2,4,"Kostenko, O ",2017,Ede,Asteraceae,Jacobea,Jacobaea vulgaris,herbacious,N,N,field,experimental,NA,No N-fixing neighbours,NA,NA,2,2.353,0.22,0.44,4,1.768,0.13,0.45,12,fig 3,,-1.234702008,0.380973616
ef18,2,4,"Kostenko, O ",2017,Ede,Asteraceae,Jacobea,Jacobaea vulgaris,herbacious,N,N,field,experimental,NA,No N-fixing neighbours,NA,NA,3,2.353,0.22,0.44,4,1.828,0.18,0.54,9,fig 3,,-0.94864749,0.395723883
ef19,2,5,"Kostenko, O ",2017,Ede,Asteraceae,Jacobea,Jacobaea vulgaris,herbacious,N,N,field,experimental,NA,No N-fixing neighbours,NA,NA,5,2.353,0.22,0.44,4,1.61,0.13,0.431,11,fig 3,,-1.61431639,0.427776338
ef20,2,6,"Kostenko, O ",2017,Ede,Asteraceae,Jacobea,Jacobaea vulgaris,herbacious,N,N,field,experimental,NA,N-fixing neighbours,NA,NA,10,2.353,0.22,0.44,4,1.828,0.16,0.277,3,fig 3,,-1.15182409,0.678097529
ef29,3,1,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,woody,toughness,toughness,field,experimental,mature,N-fixing neighbours,0.42,0.019,2,0.118,N/A,0.006,3,0.109,N/A,0.01,2,supplimentary info,Unthinned BA,-0.860078764,0.907306881
ef30,3,2,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,woody,toughness,toughness,field,experimental,mature,N-fixing neighbours,0.42,0.346,3,0.118,N/A,0.006,3,0.107,N/A,0.026,3,supplimentary info,Unthinned LBA,-0.465165769,0.684698266
ef31,3,3,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,woody,toughness,toughness,field,experimental,mature,No N-fixing neighbours,0.42,0.5,2,0.118,N/A,0.006,3,0.105,N/A,0.016,2,supplimentary info,Unthinned PB,-0.899635053,0.914267656
ef32,3,4,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,woody,toughness,toughness,field,experimental,mature,N-fixing neighbours,0.42,0.346,3,0.118,N/A,0.006,3,0.115,N/A,0.02,3,supplimentary info,Unthinned PBA,-0.162118684,0.668856872
ef33,3,5,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,woody,toughness,toughness,field,experimental,mature,No N-fixing neighbours,0.42,0.667,3,0.118,N/A,0.006,3,0.107,N/A,0.03,3,supplimentary info,Unthinned PLB,-0.405704496,0.680383011
ef34,3,6,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,woody,toughness,toughness,field,experimental,mature,No N-fixing neighbours,0.42,0.667,3,0.118,N/A,0.006,3,0.12,N/A,0.014,3,supplimentary info,Unthinned PSB,0.148163443,0.668496034
ef35,3,7,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,woody,toughness,toughness,field,experimental,mature,N-fixing neighbours,0.42,0.608,5,0.118,N/A,0.006,3,0.12,N/A,0.028,2,supplimentary info,Unthinned PSLBA,0.085674791,0.83406735
ef36,3,8,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,woody,toughness,toughness,field,experimental,mature,No N-fixing neighbours,0.42,0.5,2,0.118,N/A,0.006,3,0.119,N/A,0.003,3,supplimentary info,Unthinned SB,0.168208835,0.669024518
ef37,3,9,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,woody,toughness,toughness,field,experimental,mature,N-fixing neighbours,0.21,0.019,2,0.129,N/A,0.016,3,0.101,N/A,0.029,2,supplimentary info,Thinned BA,-0.954045465,0.924353608
ef38,3,10,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,woody,toughness,toughness,field,experimental,mature,N-fixing neighbours,0.21,0.346,3,0.129,N/A,0.016,3,0.103,N/A,0,2,supplimentary info,Thinned LBA,-1.440118754,1.040727536
ef39,3,11,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,woody,toughness,toughness,field,experimental,mature,No N-fixing neighbours,0.21,0.5,2,0.129,N/A,0.016,3,0.108,N/A,0.027,3,supplimentary info,Thinned PB,-0.755016145,0.714170782
ef40,3,12,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,woody,toughness,toughness,field,experimental,mature,N-fixing neighbours,0.21,0.346,3,0.129,N/A,0.016,3,0.109,N/A,0.023,2,supplimentary info,Thinned PBA,-0.776899012,0.893690541
ef41,3,13,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,woody,toughness,toughness,field,experimental,mature,No N-fixing neighbours,0.21,0.667,3,0.129,N/A,0.016,3,0.103,N/A,0.027,3,supplimentary info,Thinned PLB,-0.934781894,0.739484766
ef42,3,14,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,woody,toughness,toughness,field,experimental,mature,No N-fixing neighbours,0.21,0.667,3,0.129,N/A,0.016,3,0.125,N/A,0.009,2,supplimentary info,Thinned PSB,-0.205869772,0.83757157
ef43,3,15,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,woody,toughness,toughness,field,experimental,mature,N-fixing neighbours,0.21,0.608,5,0.129,N/A,0.016,3,0.123,N/A,0.007,2,supplimentary info,Thinned PSLBA,-0.317489786,0.84341331
ef44,3,16,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,woody,toughness,toughness,field,experimental,mature,No N-fixing neighbours,0.21,0.5,2,0.129,N/A,0.016,3,0.131,N/A,0.022,2,supplimentary info,Thinned SB,0.079425556,0.833964175
ef45,3,17,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,woody,thickness,thickness,field,experimental,mature,N-fixing neighbours,0.42,0.019,2,0.173,N/A,0.023,3,0.175,N/A,0.024,2,supplimentary info,Unthinned BA,0.062010311,0.833717861
ef46,3,18,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,woody,thickness,thickness,field,experimental,mature,N-fixing neighbours,0.42,0.346,3,0.173,N/A,0.023,3,0.176,N/A,0.017,3,supplimentary info,Unthinned LBA,0.118358557,0.667834062
ef47,3,19,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,woody,thickness,thickness,field,experimental,mature,No N-fixing neighbours,0.42,0.5,2,0.173,N/A,0.023,3,0.165,N/A,0.02,2,supplimentary info,Unthinned PB,-0.262585756,0.840228461
ef48,3,20,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,woody,thickness,thickness,field,experimental,mature,N-fixing neighbours,0.42,0.346,3,0.173,N/A,0.023,3,0.169,N/A,0.02,3,supplimentary info,Unthinned PBA,-0.148083678,0.668494065
ef49,3,21,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,woody,thickness,thickness,field,experimental,mature,No N-fixing neighbours,0.42,0.667,3,0.173,N/A,0.023,3,0.171,N/A,0.012,3,supplimentary info,Unthinned PLB,-0.086991641,0.667297295
ef50,3,22,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,woody,thickness,thickness,field,experimental,mature,No N-fixing neighbours,0.42,0.667,3,0.173,N/A,0.023,3,0.174,N/A,0.02,3,supplimentary info,Unthinned PSB,0.03702092,0.666780879
