"","model","runtime","error","warn","logLik","est","se","pvalue","tau2","scenario","replicate","param_id","measure","dat_file"
"1","rma.uni",0.0600000000000023,NA,NA,0.033948788048912,0.347313858660182,0.049900115717045,3.39834803092863e-12,0.0494946072420974,"lnRR_tau2=0.04_moderate",1,1,"lnRR","results/raw/lnRR/data/simdat_00001.rds"
"2","glmmTMB_RE",0.330000000000005,NA,NA,0.0339487880489244,0.347313858660631,0.049900183211407,3.39857513849162e-12,0.0494946071537666,"lnRR_tau2=0.04_moderate",1,1,"lnRR","results/raw/lnRR/data/simdat_00001.rds"
"3","rma.uni",0.00999999999999801,NA,NA,4.90388465246143,0.260249632815231,0.0386172077055072,1.59245544618676e-11,0.0294998171174626,"lnRR_tau2=0.04_moderate",2,2,"lnRR","results/raw/lnRR/data/simdat_00002.rds"
"4","glmmTMB_RE",0.340000000000003,NA,NA,4.90388465246146,0.2602496328157,0.0386172805830715,1.59259482662356e-11,0.0294998170569725,"lnRR_tau2=0.04_moderate",2,2,"lnRR","results/raw/lnRR/data/simdat_00002.rds"
"5","rma.uni",0,NA,NA,3.7609404711256,0.312409639220643,0.0410126744879638,2.58851315679489e-14,0.0333158356737318,"lnRR_tau2=0.04_moderate",3,3,"lnRR","results/raw/lnRR/data/simdat_00003.rds"
"6","glmmTMB_RE",0.240000000000002,NA,NA,3.76094047112559,0.312409639220568,0.0410126964008924,2.58859474713355e-14,0.0333158356929752,"lnRR_tau2=0.04_moderate",3,3,"lnRR","results/raw/lnRR/data/simdat_00003.rds"
"7","rma.uni",0,NA,NA,1.48443180652349,0.34488415665047,0.0462359998706744,8.70410105063862e-14,0.0424491790943515,"lnRR_tau2=0.04_moderate",4,4,"lnRR","results/raw/lnRR/data/simdat_00004.rds"
"8","glmmTMB_RE",0.270000000000003,NA,NA,1.48443180652348,0.344884156650528,0.0462360337992574,8.70446261549838e-14,0.0424491790798123,"lnRR_tau2=0.04_moderate",4,4,"lnRR","results/raw/lnRR/data/simdat_00004.rds"
"9","rma.uni",0,NA,NA,-2.77948202531724,0.249315455866465,0.0578561241290747,1.63822517406811e-05,0.0665935424119383,"lnRR_tau2=0.04_moderate",5,5,"lnRR","results/raw/lnRR/data/simdat_00005.rds"
"10","glmmTMB_RE",0.289999999999999,NA,NA,-2.77948202531727,0.24931545586803,0.0578562152119595,1.63827542221416e-05,0.0665935420809073,"lnRR_tau2=0.04_moderate",5,5,"lnRR","results/raw/lnRR/data/simdat_00005.rds"
"11","rma.uni",0.0200000000000031,NA,NA,1.0567642408325,0.27883237487299,0.0472808323693519,3.69349920444927e-09,0.0443686996415481,"lnRR_tau2=0.04_moderate",6,6,"lnRR","results/raw/lnRR/data/simdat_00006.rds"
"12","glmmTMB_RE",0.279999999999994,NA,NA,1.05676424083251,0.278832374873913,0.0472808979693745,3.69368230009069e-09,0.0443686994715666,"lnRR_tau2=0.04_moderate",6,6,"lnRR","results/raw/lnRR/data/simdat_00006.rds"
"13","rma.uni",0.0200000000000031,NA,NA,4.23182994463233,0.268179481048457,0.0400341032087932,2.10172779115992e-11,0.031730607494882,"lnRR_tau2=0.04_moderate",7,7,"lnRR","results/raw/lnRR/data/simdat_00007.rds"
"14","glmmTMB_RE",0.390000000000001,NA,NA,4.23182994463233,0.268179481046315,0.0400341724494313,2.10189440335706e-11,0.0317306077942661,"lnRR_tau2=0.04_moderate",7,7,"lnRR","results/raw/lnRR/data/simdat_00007.rds"
"15","rma.uni",0.00999999999999801,NA,NA,5.49436184831609,0.222211696696686,0.03743336074289,2.91714349505169e-09,0.0276858079984727,"lnRR_tau2=0.04_moderate",8,8,"lnRR","results/raw/lnRR/data/simdat_00008.rds"
"16","glmmTMB_RE",0.240000000000002,NA,NA,5.49436184831611,0.222211696697775,0.0374335081112907,2.91755911851524e-09,0.0276858079041642,"lnRR_tau2=0.04_moderate",8,8,"lnRR","results/raw/lnRR/data/simdat_00008.rds"
"17","rma.uni",0,NA,NA,4.86779360955529,0.240181313432399,0.0387166474394002,5.51975515565504e-10,0.0296472226486249,"lnRR_tau2=0.04_moderate",9,9,"lnRR","results/raw/lnRR/data/simdat_00009.rds"
"18","glmmTMB_RE",0.229999999999997,NA,NA,4.86779360955529,0.240181313417562,0.0387167339884408,5.52024181903161e-10,0.0296472244219813,"lnRR_tau2=0.04_moderate",9,9,"lnRR","results/raw/lnRR/data/simdat_00009.rds"
"19","rma.uni",0.00999999999999801,NA,NA,5.1749912928367,0.252834880473123,0.0380689416823714,3.10506515215068e-11,0.0286584921740147,"lnRR_tau2=0.04_moderate",10,10,"lnRR","results/raw/lnRR/data/simdat_00010.rds"
"20","glmmTMB_RE",0.240000000000002,NA,NA,5.1749912928367,0.252834880473751,0.038069017597101,3.10534422513989e-11,0.0286584920963258,"lnRR_tau2=0.04_moderate",10,10,"lnRR","results/raw/lnRR/data/simdat_00010.rds"
"21","rma.uni",0.00999999999999801,NA,NA,5.47093547448369,0.292454094200112,0.0374860390675728,6.10882258545354e-15,0.0277884383498317,"lnRR_tau2=0.04_moderate",11,11,"lnRR","results/raw/lnRR/data/simdat_00011.rds"
"22","glmmTMB_RE",0.219999999999999,NA,NA,5.47093547448373,0.292454094200244,0.0374861239377528,6.10967787215973e-15,0.0277884383347031,"lnRR_tau2=0.04_moderate",11,11,"lnRR","results/raw/lnRR/data/simdat_00011.rds"
"23","rma.uni",0.0200000000000031,NA,NA,-1.34760562401789,0.320959177523243,0.0536816524287106,2.24599428842688e-09,0.0573201351048346,"lnRR_tau2=0.04_moderate",12,12,"lnRR","results/raw/lnRR/data/simdat_00012.rds"
"24","glmmTMB_RE",0.229999999999997,NA,NA,-1.34760562401792,0.320959177526006,0.0536817034184562,2.24607257985039e-09,0.0573201344088694,"lnRR_tau2=0.04_moderate",12,12,"lnRR","results/raw/lnRR/data/simdat_00012.rds"
"25","rma.uni",0,NA,NA,-0.346157869385964,0.28930809779837,0.0509286915794985,1.34183412565577e-08,0.0515661731983007,"lnRR_tau2=0.04_moderate",13,13,"lnRR","results/raw/lnRR/data/simdat_00013.rds"
"26","glmmTMB_RE",0.25,NA,NA,-0.346157869385955,0.289308097798364,0.0509287048635495,1.34184575116499e-08,0.0515661732011469,"lnRR_tau2=0.04_moderate",13,13,"lnRR","results/raw/lnRR/data/simdat_00013.rds"
"27","rma.uni",0.00999999999999801,NA,NA,2.37772052035867,0.281654858113753,0.0441023212392844,1.6984159657357e-10,0.038578114215152,"lnRR_tau2=0.04_moderate",14,14,"lnRR","results/raw/lnRR/data/simdat_00014.rds"
"28","glmmTMB_RE",0.240000000000002,NA,NA,2.37772052035864,0.28165485811491,0.0441023629593008,1.69848303256469e-10,0.0385781139746139,"lnRR_tau2=0.04_moderate",14,14,"lnRR","results/raw/lnRR/data/simdat_00014.rds"
"29","rma.uni",0.0200000000000031,NA,NA,-0.466856239473808,0.280785850440619,0.0512173339089614,4.19967752435818e-08,0.0521412277261595,"lnRR_tau2=0.04_moderate",15,15,"lnRR","results/raw/lnRR/data/simdat_00015.rds"
"30","glmmTMB_RE",0.219999999999999,NA,NA,-0.466856239473785,0.280785850443042,0.0512173629885209,4.19975143537243e-08,0.0521412269744282,"lnRR_tau2=0.04_moderate",15,15,"lnRR","results/raw/lnRR/data/simdat_00015.rds"
"31","rma.uni",0,NA,NA,-0.735242701225861,0.375524028332826,0.0519638049055127,4.95067970616896e-13,0.0537200004743705,"lnRR_tau2=0.04_moderate",16,16,"lnRR","results/raw/lnRR/data/simdat_00016.rds"
"32","glmmTMB_RE",0.240000000000002,NA,NA,-0.735242701225879,0.375524028332988,0.0519638239649582,4.95077628951793e-13,0.0537200004104446,"lnRR_tau2=0.04_moderate",16,16,"lnRR","results/raw/lnRR/data/simdat_00016.rds"
"33","rma.uni",0.00999999999999801,NA,NA,-2.32602967143168,0.294510101824804,0.0565123371898798,1.87390326826735e-07,0.0635372035485621,"lnRR_tau2=0.04_moderate",17,17,"lnRR","results/raw/lnRR/data/simdat_00017.rds"
"34","glmmTMB_RE",0.269999999999996,NA,NA,-2.32602967143171,0.294510101824532,0.0565124080590584,1.87396929431511e-07,0.0635372036117352,"lnRR_tau2=0.04_moderate",17,17,"lnRR","results/raw/lnRR/data/simdat_00017.rds"
"35","rma.uni",0.00999999999999801,NA,NA,0.415133743282086,0.31516694376721,0.0489163122726095,1.17148210473437e-10,0.0475273341990717,"lnRR_tau2=0.04_moderate",18,18,"lnRR","results/raw/lnRR/data/simdat_00018.rds"
"36","glmmTMB_RE",0.25,NA,NA,0.415133743282063,0.315166943767283,0.0489164234844515,1.17159522031843e-10,0.047527334188221,"lnRR_tau2=0.04_moderate",18,18,"lnRR","results/raw/lnRR/data/simdat_00018.rds"
"37","rma.uni",0.0200000000000031,NA,NA,-0.0310434580041825,0.225694208840881,0.0500735146302733,6.56710140158656e-06,0.0498043574462293,"lnRR_tau2=0.04_moderate",19,19,"lnRR","results/raw/lnRR/data/simdat_00019.rds"
"38","glmmTMB_RE",0.219999999999999,NA,NA,-0.0310434580042056,0.225694208841186,0.0500736032629466,6.56734824350231e-06,0.0498043573935687,"lnRR_tau2=0.04_moderate",19,19,"lnRR","results/raw/lnRR/data/simdat_00019.rds"
"39","rma.uni",0,NA,NA,3.55760187455603,0.233375543567005,0.041460794127528,1.81441643837213e-08,0.0340512210568556,"lnRR_tau2=0.04_moderate",20,20,"lnRR","results/raw/lnRR/data/simdat_00020.rds"
"40","glmmTMB_RE",0.229999999999997,NA,NA,3.55760187455603,0.233375543566794,0.0414608972773234,1.81456373190064e-08,0.0340512210822488,"lnRR_tau2=0.04_moderate",20,20,"lnRR","results/raw/lnRR/data/simdat_00020.rds"
"41","rma.uni",0.0200000000000031,NA,NA,4.09396530562762,0.204877170334561,0.0403144065333592,3.7351281476555e-07,0.0321606463170012,"lnRR_tau2=0.04_moderate",21,21,"lnRR","results/raw/lnRR/data/simdat_00021.rds"
"42","glmmTMB_RE",0.229999999999997,NA,NA,4.09396530562768,0.204877170356006,0.0403145236843526,3.73541861133328e-07,0.0321606440044223,"lnRR_tau2=0.04_moderate",21,21,"lnRR","results/raw/lnRR/data/simdat_00021.rds"
"43","rma.uni",0,NA,NA,-0.868204884947236,0.17590317308758,0.0523596554452295,0.000780787366552492,0.0544743904356853,"lnRR_tau2=0.04_moderate",22,22,"lnRR","results/raw/lnRR/data/simdat_00022.rds"
"44","glmmTMB_RE",0.229999999999997,NA,NA,-0.868204884947225,0.175903173087003,0.0523597226694697,0.00078079955500223,0.0544743905580859,"lnRR_tau2=0.04_moderate",22,22,"lnRR","results/raw/lnRR/data/simdat_00022.rds"
"45","rma.uni",0,NA,NA,3.258527637648,0.253337713359807,0.042124971441082,1.81049972946602e-09,0.0351650590193143,"lnRR_tau2=0.04_moderate",23,23,"lnRR","results/raw/lnRR/data/simdat_00023.rds"
"46","glmmTMB_RE",0.230000000000004,NA,NA,3.25852763764799,0.253337713362057,0.0421250175379428,1.81057327025236e-09,0.0351650586047291,"lnRR_tau2=0.04_moderate",23,23,"lnRR","results/raw/lnRR/data/simdat_00023.rds"
"47","rma.uni",0,NA,NA,-1.52013889263828,0.221322159746576,0.0541707774848108,4.39559606120854e-05,0.0583496885252011,"lnRR_tau2=0.04_moderate",24,24,"lnRR","results/raw/lnRR/data/simdat_00024.rds"
"48","glmmTMB_RE",0.219999999999999,NA,NA,-1.52013889263827,0.221322159747271,0.0541708054863332,4.39563604643347e-05,0.0583496882854221,"lnRR_tau2=0.04_moderate",24,24,"lnRR","results/raw/lnRR/data/simdat_00024.rds"
"49","rma.uni",0,NA,NA,5.98715299713538,0.308024588452075,0.0364709610152722,3.02101748188054e-17,0.026293446590964,"lnRR_tau2=0.04_moderate",25,25,"lnRR","results/raw/lnRR/data/simdat_00025.rds"
"50","glmmTMB_RE",0.25,NA,NA,5.98715299713539,0.30802458845394,0.0364710555390122,3.02158365573836e-17,0.0262934463970925,"lnRR_tau2=0.04_moderate",25,25,"lnRR","results/raw/lnRR/data/simdat_00025.rds"
"51","rma.uni",0.00999999999999801,NA,NA,2.02522968002792,0.217524414514854,0.044953566008318,1.30580112250513e-06,0.0400835105968111,"lnRR_tau2=0.04_moderate",26,26,"lnRR","results/raw/lnRR/data/simdat_00026.rds"
"52","glmmTMB_RE",0.25,NA,NA,2.02522968002798,0.217524414514838,0.0449536136998108,1.30583484645454e-06,0.0400835105999534,"lnRR_tau2=0.04_moderate",26,26,"lnRR","results/raw/lnRR/data/simdat_00026.rds"
