"","model","runtime","error","warn","logLik","est","se","pvalue","tau2","scenario","replicate","param_id","measure","dat_file"
"1","rma.uni",0.0300000000000011,NA,NA,-9.01508297092229,0.454219721803708,0.0801615431314378,1.4591003564085e-08,0.0868387984396112,"SMD_tau2=0.04_moderate",1,1,"SMD","results/raw/SMD/data/simdat_00001.rds"
"2","glmmTMB_RE",1.53,NA,NA,-9.01508297092229,0.454219721758806,0.0801748311614409,1.46711474785926e-08,0.0868387971505839,"SMD_tau2=0.04_moderate",1,1,"SMD","results/raw/SMD/data/simdat_00001.rds"
"3","rma.uni",0.0200000000000031,NA,NA,1.38460109355123,0.308957548753719,0.0464326068990794,2.8544228410355e-11,0.00242323033632909,"SMD_tau2=0.04_moderate",2,2,"SMD","results/raw/SMD/data/simdat_00002.rds"
"4","glmmTMB_RE",0.420000000000002,NA,NA,1.3846010935513,0.308957548477417,0.0464398351350936,2.87458884487725e-11,0.00242322560831514,"SMD_tau2=0.04_moderate",2,2,"SMD","results/raw/SMD/data/simdat_00002.rds"
"5","rma.uni",0.0200000000000031,NA,NA,-1.64814467958031,0.343339857259262,0.0544590401474366,2.89028444602994e-10,0.0184260211439535,"SMD_tau2=0.04_moderate",3,3,"SMD","results/raw/SMD/data/simdat_00003.rds"
"6","glmmTMB_RE",0.509999999999998,NA,NA,-1.64814467958017,0.343339856728869,0.0544692652385801,2.91245116136915e-10,0.0184260114483514,"SMD_tau2=0.04_moderate",3,3,"SMD","results/raw/SMD/data/simdat_00003.rds"
"7","rma.uni",0,NA,NA,-6.69633694991517,0.362602553264515,0.0708952319390189,3.14364208745506e-07,0.0593614026691931,"SMD_tau2=0.04_moderate",4,4,"SMD","results/raw/SMD/data/simdat_00004.rds"
"8","glmmTMB_RE",0.600000000000001,NA,NA,-6.69633694991518,0.36260255318129,0.0709017206864347,3.15144647874944e-07,0.0593613998214492,"SMD_tau2=0.04_moderate",4,4,"SMD","results/raw/SMD/data/simdat_00004.rds"
"9","rma.uni",0.00999999999999801,NA,NA,-5.42971513277047,0.317823501384877,0.0662040597543835,1.58139750455771e-06,0.0467149677132542,"SMD_tau2=0.04_moderate",5,5,"SMD","results/raw/SMD/data/simdat_00005.rds"
"10","glmmTMB_RE",0.490000000000002,NA,NA,-5.42971513277035,0.317823500863362,0.0662125309508199,1.58625523644893e-06,0.0467149535728157,"SMD_tau2=0.04_moderate",5,5,"SMD","results/raw/SMD/data/simdat_00005.rds"
"11","rma.uni",0.019999999999996,NA,NA,-2.29393108264807,0.31955521627454,0.0561293427228585,1.24684849849088e-08,0.0221805255394718,"SMD_tau2=0.04_moderate",6,6,"SMD","results/raw/SMD/data/simdat_00006.rds"
"12","glmmTMB_RE",0.560000000000002,NA,NA,-2.29393108264793,0.319555215716766,0.0561403413819539,1.25502314976e-08,0.0221805151766922,"SMD_tau2=0.04_moderate",6,6,"SMD","results/raw/SMD/data/simdat_00006.rds"
"13","rma.uni",0,NA,NA,-1.46434441235534,0.351923749948316,0.0535909327816554,5.13899113626513e-11,0.016525166659474,"SMD_tau2=0.04_moderate",7,7,"SMD","results/raw/SMD/data/simdat_00007.rds"
"14","glmmTMB_RE",0.640000000000001,NA,NA,-1.46434441235229,0.351923746739491,0.0536066420428506,5.20580007911765e-11,0.0165251199127278,"SMD_tau2=0.04_moderate",7,7,"SMD","results/raw/SMD/data/simdat_00007.rds"
"15","rma.uni",0.00999999999999801,NA,NA,-6.95632598837688,0.326637863519259,0.0720141270065426,5.73999451727162e-06,0.0626722584023424,"SMD_tau2=0.04_moderate",8,8,"SMD","results/raw/SMD/data/simdat_00008.rds"
"16","glmmTMB_RE",0.350000000000001,NA,NA,-6.95632598837676,0.326637863062732,0.0720201459066498,5.75031410228039e-06,0.0626722418658375,"SMD_tau2=0.04_moderate",8,8,"SMD","results/raw/SMD/data/simdat_00008.rds"
"17","rma.uni",0.0200000000000031,NA,NA,-0.494684734350637,0.365658727266655,0.0507798457468623,5.98325135318717e-13,0.0106344409091007,"SMD_tau2=0.04_moderate",9,9,"SMD","results/raw/SMD/data/simdat_00009.rds"
"18","glmmTMB_RE",0.890000000000001,NA,NA,-0.494684734321961,0.365658717572715,0.0507957382609036,6.08293907222259e-13,0.0106343109644629,"SMD_tau2=0.04_moderate",9,9,"SMD","results/raw/SMD/data/simdat_00009.rds"
"19","rma.uni",0.00999999999999801,NA,NA,-4.60770381786168,0.325057825440944,0.0630397478722158,2.51749871748628e-07,0.0385475559631581,"SMD_tau2=0.04_moderate",10,10,"SMD","results/raw/SMD/data/simdat_00010.rds"
"20","glmmTMB_RE",0.390000000000001,NA,NA,-4.60770381782286,0.325057813384306,0.0630545048748938,2.53376880548116e-07,0.038547323980457,"SMD_tau2=0.04_moderate",10,10,"SMD","results/raw/SMD/data/simdat_00010.rds"
"21","rma.uni",0,NA,NA,-0.88383447411476,0.296423886973679,0.0521758748978995,1.33718387575551e-08,0.0137321492982757,"SMD_tau2=0.04_moderate",11,11,"SMD","results/raw/SMD/data/simdat_00011.rds"
"22","glmmTMB_RE",1.17,NA,NA,-0.883834474114735,0.296423886799164,0.0521851288114829,1.34508422582642e-08,0.0137321461373656,"SMD_tau2=0.04_moderate",11,11,"SMD","results/raw/SMD/data/simdat_00011.rds"
"23","rma.uni",0.019999999999996,NA,NA,-4.24052077235751,0.305894767094287,0.0620249832747401,8.1475621047991e-07,0.0360858866118089,"SMD_tau2=0.04_moderate",12,12,"SMD","results/raw/SMD/data/simdat_00012.rds"
"24","glmmTMB_RE",0.580000000000005,NA,NA,-4.24052077235429,0.305894763964811,0.0620371845917548,8.18812853572026e-07,0.0360858222074458,"SMD_tau2=0.04_moderate",12,12,"SMD","results/raw/SMD/data/simdat_00012.rds"
"25","rma.uni",0.0200000000000031,NA,NA,-5.34378908387805,0.305465677761751,0.0655648190596405,3.17768370612596e-06,0.0450735761346649,"SMD_tau2=0.04_moderate",13,13,"SMD","results/raw/SMD/data/simdat_00013.rds"
"26","glmmTMB_RE",0.969999999999999,NA,NA,-5.34378908384954,0.305465667185142,0.0655796393579857,3.193977336417e-06,0.0450733608116533,"SMD_tau2=0.04_moderate",13,13,"SMD","results/raw/SMD/data/simdat_00013.rds"
"27","rma.uni",0.00999999999999801,NA,NA,-1.11115852522519,0.292128587766928,0.052892278349911,3.33097101514161e-08,0.0152440179132445,"SMD_tau2=0.04_moderate",14,14,"SMD","results/raw/SMD/data/simdat_00014.rds"
"28","glmmTMB_RE",0.660000000000004,NA,NA,-1.11115852522259,0.292128585773172,0.0528994595253696,3.34522133824936e-08,0.0152439762610611,"SMD_tau2=0.04_moderate",14,14,"SMD","results/raw/SMD/data/simdat_00014.rds"
"29","rma.uni",0.0200000000000031,NA,NA,-3.84047874038249,0.310846533148962,0.0611610373939164,3.72641728834762e-07,0.0339573317251708,"SMD_tau2=0.04_moderate",15,15,"SMD","results/raw/SMD/data/simdat_00015.rds"
"30","glmmTMB_RE",0.539999999999999,NA,NA,-3.84047874038248,0.310846533098239,0.0611651389614676,3.73311134135139e-07,0.0339573299847267,"SMD_tau2=0.04_moderate",15,15,"SMD","results/raw/SMD/data/simdat_00015.rds"
"31","rma.uni",0.0200000000000031,NA,NA,-3.46940205487757,0.421956971050759,0.0596607037100812,1.52044873882081e-12,0.0299304318479331,"SMD_tau2=0.04_moderate",16,16,"SMD","results/raw/SMD/data/simdat_00016.rds"
"32","glmmTMB_RE",0.939999999999998,NA,NA,-3.46940205487716,0.421956969721801,0.0596784837569462,1.54371768691261e-12,0.02993041053445,"SMD_tau2=0.04_moderate",16,16,"SMD","results/raw/SMD/data/simdat_00016.rds"
"33","rma.uni",0.00999999999999801,NA,NA,-8.310657656044,0.273194521310961,0.0767777366581289,0.000373331306074246,0.0769344064254641,"SMD_tau2=0.04_moderate",17,17,"SMD","results/raw/SMD/data/simdat_00017.rds"
"34","glmmTMB_RE",0.600000000000001,NA,NA,-8.31065765603747,0.273194517140601,0.076786317330032,0.000373896823138738,0.076934265510656,"SMD_tau2=0.04_moderate",17,17,"SMD","results/raw/SMD/data/simdat_00017.rds"
"35","rma.uni",0,NA,NA,-9.13867032200669,0.402420533061005,0.080633236603488,6.01444992989613e-07,0.088573908321032,"SMD_tau2=0.04_moderate",18,18,"SMD","results/raw/SMD/data/simdat_00018.rds"
"36","glmmTMB_RE",0.689999999999998,NA,NA,-9.13867032200669,0.402420532960837,0.0806443815957987,6.03596491885958e-07,0.088573905149384,"SMD_tau2=0.04_moderate",18,18,"SMD","results/raw/SMD/data/simdat_00018.rds"
"37","rma.uni",0.0200000000000031,NA,NA,-4.4125290913782,0.337929127054755,0.0625744048579458,6.64787797709199e-08,0.0373428994430645,"SMD_tau2=0.04_moderate",19,19,"SMD","results/raw/SMD/data/simdat_00019.rds"
"38","glmmTMB_RE",0.939999999999998,NA,NA,-4.41252909137446,0.337929123568746,0.0625869717237294,6.68818384164924e-08,0.0373428278019866,"SMD_tau2=0.04_moderate",19,19,"SMD","results/raw/SMD/data/simdat_00019.rds"
"39","rma.uni",0,NA,NA,-2.66419370374477,0.232697807386342,0.0573221809147579,4.91837352362853e-05,0.0251195515635186,"SMD_tau2=0.04_moderate",20,20,"SMD","results/raw/SMD/data/simdat_00020.rds"
"40","glmmTMB_RE",0.549999999999997,NA,NA,-2.66419370374476,0.232697807301509,0.0573261123102534,4.92424049150715e-05,0.0251195488505679,"SMD_tau2=0.04_moderate",20,20,"SMD","results/raw/SMD/data/simdat_00020.rds"
"41","rma.uni",0.00999999999999801,NA,NA,-1.79429022241341,0.185771353580748,0.0548316363615794,0.000703959806515239,0.0196613234930463,"SMD_tau2=0.04_moderate",21,21,"SMD","results/raw/SMD/data/simdat_00021.rds"
"42","glmmTMB_RE",0.579999999999998,NA,NA,-1.79429022241094,0.185771352314541,0.0548345621723768,0.00070442398638391,0.0196612798368383,"SMD_tau2=0.04_moderate",21,21,"SMD","results/raw/SMD/data/simdat_00021.rds"
"43","rma.uni",0.00999999999999801,NA,NA,-6.64258933764973,0.210272296812684,0.0706585714715535,0.00292137464064521,0.0591393898002135,"SMD_tau2=0.04_moderate",22,22,"SMD","results/raw/SMD/data/simdat_00022.rds"
"44","glmmTMB_RE",0.600000000000001,NA,NA,-6.64258933764971,0.21027229670455,0.0706618149242544,0.00292267610229281,0.0591393845880957,"SMD_tau2=0.04_moderate",22,22,"SMD","results/raw/SMD/data/simdat_00022.rds"
"45","rma.uni",0.0200000000000031,NA,NA,-6.19292844460954,0.289351945217245,0.0690583109296941,2.78996782909386e-05,0.0544886898024384,"SMD_tau2=0.04_moderate",23,23,"SMD","results/raw/SMD/data/simdat_00023.rds"
"46","glmmTMB_RE",0.609999999999999,NA,NA,-6.19292844460953,0.289351945158123,0.0690646143795204,2.7946735497303e-05,0.0544886878297905,"SMD_tau2=0.04_moderate",23,23,"SMD","results/raw/SMD/data/simdat_00023.rds"
"47","rma.uni",0,NA,NA,-5.8651040012453,0.250492194965902,0.0674327683060897,0.000203448602080519,0.0501741510309275,"SMD_tau2=0.04_moderate",24,24,"SMD","results/raw/SMD/data/simdat_00024.rds"
"48","glmmTMB_RE",1.03,NA,NA,-5.86510400122754,0.250492187615414,0.0674439812605007,0.000203946119810191,0.0501739718207838,"SMD_tau2=0.04_moderate",24,24,"SMD","results/raw/SMD/data/simdat_00024.rds"
