model,runtime,error,warn,logLik,est,se,pvalue,tau2,scenario,replicate,param_id
rma.uni,0,NA,NA,-5.326018199073522,0.4389298928576878,0.06518030263901523,1.6496133877953296e-11,0.04356215865602937,SMD_tau2=0.04_moderate,1,1
glmmTMB_RE,0.5799999999981083,NA,NA,-5.326018199071722,0.4389298891634351,0.06520860566196202,1.6830987831243688e-11,0.043562104086218356,SMD_tau2=0.04_moderate,1,1
rma.uni,0.01999999999679858,NA,NA,-3.3529323926902794,0.32763039879805306,0.05956235275856081,3.784389740337322e-8,0.03006086169125174,SMD_tau2=0.04_moderate,2,2
glmmTMB_RE,0.5,NA,NA,-3.3529323926900645,0.3276303981558395,0.05956966668240209,3.7989137054479754e-8,0.03006084581314489,SMD_tau2=0.04_moderate,2,2
rma.uni,0.00999999999839929,NA,NA,-6.550596746949269,0.2912060565288437,0.07044400018667134,3.567115204048138e-5,0.05833146582992165,SMD_tau2=0.04_moderate,3,3
glmmTMB_RE,0.47000000000116415,NA,NA,-6.5505967469478605,0.29120605597377447,0.07044475804213694,3.5678060080276033e-5,0.05833141159218326,SMD_tau2=0.04_moderate,3,3
rma.uni,0.00999999999839929,NA,NA,7.412507149605231,0.3107080320905202,0.0450426810288634,5.270993970890019e-12,0,SMD_tau2=0.04_moderate,4,4
glmmTMB_RE,0.4900000000016007,NA,NA,7.412507140766273,0.3107080320973155,0.04504268009451012,5.27098865734675e-12,2.3664539344304463e-10,SMD_tau2=0.04_moderate,4,4
rma.uni,0,NA,NA,-2.9826267373671502,0.38942677631607003,0.05851540188320336,2.83077062471696e-11,0.027375533558378667,SMD_tau2=0.04_moderate,5,5
glmmTMB_RE,0.43000000000029104,NA,NA,-2.982626737367159,0.38942677631799094,0.05852043867021895,2.8418163788313725e-11,0.027375533613934945,SMD_tau2=0.04_moderate,5,5
rma.uni,0,NA,NA,-3.417158194020618,0.2947963937486455,0.05964721857232231,7.719337230522875e-7,0.030365133946725492,SMD_tau2=0.04_moderate,6,6
glmmTMB_RE,0.42000000000189175,NA,NA,-3.4171581940206046,0.2947963936522075,0.059653754817232604,7.740813810791487e-7,0.030365131408938588,SMD_tau2=0.04_moderate,6,6
rma.uni,0,NA,NA,-1.7161164465887424,0.239809518284747,0.05464137844988586,1.13983230247294e-5,0.019129828048442866,SMD_tau2=0.04_moderate,7,7
glmmTMB_RE,0.43000000000029104,NA,NA,-1.7161164465884085,0.23980951772921572,0.05464553164117046,1.1415816139082751e-5,0.01912981203639321,SMD_tau2=0.04_moderate,7,7
rma.uni,0.020000000000436557,NA,NA,-7.507337456244173,0.2628612885923492,0.07391488164972014,3.7615725566211806e-4,0.06838149942795263,SMD_tau2=0.04_moderate,8,8
glmmTMB_RE,0.41999999999825377,NA,NA,-7.507337456244141,0.26286128834602707,0.07392130244687257,3.7659956259526815e-4,0.06838149039068268,SMD_tau2=0.04_moderate,8,8
rma.uni,0.020000000000436557,NA,NA,-6.71880578820765,0.2931746623590261,0.07093927733528219,3.5844054128261434e-5,0.05971747259761635,SMD_tau2=0.04_moderate,9,9
glmmTMB_RE,0.4000000000014552,NA,NA,-6.718805788207629,0.2931746622230064,0.07094386046794311,3.588572839395443e-5,0.05971746704838398,SMD_tau2=0.04_moderate,9,9
